            table_name            |        column_name        |          data_type          | is_nullable |             column_default             
 vehicles                         | location                  | text                        | YES         | 
 vehicles                         | max_height                | numeric                     | YES         | 
 vehicles                         | wheelchair_accessible     | boolean                     | YES         | false
 venues                           | id                        | uuid                        | NO          | gen_random_uuid()
 venues                           | name                      | character varying           | NO          | 
 venues                           | address                   | text                        | NO          | 
 venues                           | suburb                    | character varying           | YES         | 
 venues                           | state                     | character varying           | YES         | 
 venues                           | postcode                  | character varying           | YES         | 
 venues                           | capacity                  | integer                     | YES         | 
 venues                           | facilities                | text                        | YES         | 
 venues                           | active                    | boolean                     | NO          | true
 venues                           | created_at                | timestamp with time zone    | NO          | now()
 venues                           | updated_at                | timestamp with time zone    | NO          | now()
 venues                           | location_lat              | numeric                     | YES         | 
 venues                           | location_lng              | numeric                     | YES         | 
 venues                           | status                    | character varying           | NO          | 'active'::character varying
(472 rows)

